0	0	0
8.62467	5.97092	6.75972
10.0215	7.23313	7.75256
10.5244	7.73605	7.87543
10.908	8.11828	7.86315
11.2879	8.47988	7.82957
11.6821	8.83646	7.79242
12.0934	9.19058	7.75464
12.522	9.54248	7.7165
12.968	9.89234	7.67823
13.4314	10.2403	7.63993
13.9121	10.5862	7.60155
14.41	10.9302	7.56315
14.9252	11.2724	7.52484
15.4575	11.6127	7.48662
16.0068	11.9511	7.44842
16.5732	12.2879	7.41047
17.1565	12.6229	7.37265
17.7568	12.9561	7.33501
18.374	13.2878	7.29766
19.0079	13.6178	7.26052
19.6586	13.9462	7.22367
20.3259	14.2729	7.18703
21.0099	14.5982	7.15076
21.7105	14.922	7.1148
22.4275	15.2442	7.07915
23.161	15.565	7.04388
23.9108	15.8844	7.00892
24.6769	16.2023	6.97435
25.4593	16.5188	6.94009
26.2578	16.834	6.90622
27.0725	17.1479	6.87275
27.9032	17.4604	6.83967
28.75	17.7717	6.807
29.6126	18.0817	6.77464
30.4912	18.3904	6.74276
31.3855	18.6979	6.7112
32.2957	19.0043	6.68011
33.2215	19.3094	6.64935
34.1629	19.6133	6.61898
35.1199	19.9161	6.589
36.0924	20.2178	6.55943
37.0804	20.5183	6.53026
38.0839	20.8178	6.50148
39.1026	21.1162	6.47311
40.1367	21.4135	6.44505
41.1859	21.7098	6.41738
42.2504	22.005	6.39011
43.33	22.2993	6.36324
44.4246	22.5925	6.33668
45.5343	22.8847	6.31051
46.6588	23.1759	6.28465
47.7983	23.4662	6.25918
48.9528	23.7556	6.2341
50.122	24.0441	6.20935
51.3059	24.3316	6.18489
52.5045	24.6182	6.16082
53.7178	24.9039	6.13706
54.9457	25.1887	6.11361
56.1881	25.4726	6.09045
57.4451	25.7558	6.06768
58.7166	26.038	6.04522
60.0024	26.3195	6.02307
61.3026	26.6001	6.00121
62.6171	26.8798	5.97957
63.9459	27.1588	5.95831
65.2889	27.4371	5.93735
66.6461	27.7144	5.91661
68.0175	27.9911	5.89624
69.403	28.267	5.8761
70.8026	28.5422	5.85625
72.2161	28.8165	5.83661
73.6436	29.0902	5.81725
75.0851	29.3631	5.7982
76.5404	29.6353	5.77936
78.0096	29.9069	5.76081
79.4926	30.1777	5.74247
80.9894	30.4478	5.72442
82.5	30.7173	5.70658
84.0242	30.9861	5.68894
85.5621	31.2542	5.67159
87.1136	31.5216	5.65436
88.6787	31.7884	5.63741
90.2574	32.0546	5.62076
91.8495	32.3201	5.60423
